,time_unix,lon,lat,date time
218,1770086121,-15823.6863,2127.6258,2026-02-03 02:35:21
219,1770086720,-15823.6612,2127.6002,2026-02-03 02:45:20
220,1770086752,-15823.6583,2127.5993,2026-02-03 02:45:52
221,1770086788,-15823.6539,2127.5982,2026-02-03 02:46:28
222,1770100591,-15822.2618,2127.2217,2026-02-03 06:36:31
223,1770100628,-15822.2654,2127.227,2026-02-03 06:37:08
224,1770101417,-15822.2981,2127.3285,2026-02-03 06:50:17
225,1770101453,-15822.306,2127.3347,2026-02-03 06:50:53
226,1770101489,-15822.3224,2127.3373,2026-02-03 06:51:29
227,1770115782,-15821.7674,2126.7217,2026-02-03 10:49:42
228,1770115818,-15821.7629,2126.7198,2026-02-03 10:50:18
229,1770131699,-15820.9562,2124.9859,2026-02-03 15:14:59
230,1770131735,-15820.9633,2124.9736,2026-02-03 15:15:35
231,1770146061,-15819.8799,2124.1264,2026-02-03 19:14:21
232,1770146097,-15819.8837,2124.1281,2026-02-03 19:14:57
233,1770146878,-15819.9974,2124.1764,2026-02-03 19:27:58
234,1770146910,-15820.005,2124.1797,2026-02-03 19:28:30
235,1770146946,-15820.0155,2124.1811,2026-02-03 19:29:06
236,1770176687,-15818.35,2122.0784,2026-02-04 03:44:47
237,1770176723,-15818.3537,2122.0815,2026-02-04 03:45:23
238,1770177783,-15818.4546,2122.1178,2026-02-04 04:03:03
239,1770177815,-15818.4585,2122.1201,2026-02-04 04:03:35
240,1770177851,-15818.4653,2122.1252,2026-02-04 04:04:11
241,1770177887,-15818.4791,2122.1343,2026-02-04 04:04:47
242,1770206231,-15816.9113,2120.5103,2026-02-04 11:57:11
243,1770206264,-15816.9134,2120.5124,2026-02-04 11:57:44
244,1770207121,-15816.927,2120.528,2026-02-04 12:12:01
245,1770207157,-15816.9267,2120.5279,2026-02-04 12:12:37
246,1770207193,-15816.9263,2120.5277,2026-02-04 12:13:13
247,1770207229,-15816.9277,2120.5313,2026-02-04 12:13:49
248,1770235763,-15815.4323,2118.2333,2026-02-04 20:09:23
249,1770235799,-15815.4345,2118.2362,2026-02-04 20:09:59
250,1770236543,-15815.507,2118.3133,2026-02-04 20:22:23
251,1770236579,-15815.512,2118.3168,2026-02-04 20:22:59
252,1770236611,-15815.5199,2118.3267,2026-02-04 20:23:31
253,1770245514,-15814.8641,2117.6823,2026-02-04 22:51:54
254,1770245983,-15814.9641,2117.7731,2026-02-04 22:59:43
255,1770246016,-15814.9709,2117.7825,2026-02-04 23:00:16
256,1770246052,-15814.9771,2117.7881,2026-02-04 23:00:52
257,1770246088,-15814.9847,2117.7935,2026-02-04 23:01:28
258,1770255086,-15814.2094,2116.8285,2026-02-05 01:31:26
259,1770255123,-15814.2157,2116.8373,2026-02-05 01:32:03
260,1770255713,-15814.3156,2116.963,2026-02-05 01:41:53
261,1770255749,-15814.3209,2116.9693,2026-02-05 01:42:29
262,1770255781,-15814.3251,2116.9765,2026-02-05 01:43:01
263,1770264682,-15813.6247,2116.0892,2026-02-05 04:11:22
264,1770264718,-15813.6297,2116.0945,2026-02-05 04:11:58
265,1770265314,-15813.7061,2116.1741,2026-02-05 04:21:54
266,1770265346,-15813.7113,2116.1782,2026-02-05 04:22:26
267,1770265382,-15813.7192,2116.1824,2026-02-05 04:23:02
268,1770274226,-15812.9683,2115.7695,2026-02-05 06:50:26
269,1770274262,-15812.9698,2115.7721,2026-02-05 06:51:02
270,1770274837,-15813.0044,2115.8276,2026-02-05 07:00:37
271,1770274873,-15813.0063,2115.8314,2026-02-05 07:01:13
272,1770274905,-15813.0099,2115.8353,2026-02-05 07:01:45
273,1770283765,-15812.3166,2115.4373,2026-02-05 09:29:25
274,1770283806,-15812.3209,2115.4406,2026-02-05 09:30:06
275,1770284272,-15812.3718,2115.4826,2026-02-05 09:37:52
276,1770284308,-15812.3764,2115.4883,2026-02-05 09:38:28
277,1770284340,-15812.3781,2115.4874,2026-02-05 09:39:00
278,1770293358,-15811.5758,2114.6765,2026-02-05 12:09:18
279,1770293394,-15811.5791,2114.681,2026-02-05 12:09:54
280,1770293919,-15811.628,2114.7448,2026-02-05 12:18:39
281,1770293951,-15811.6319,2114.7499,2026-02-05 12:19:11
282,1770293987,-15811.6335,2114.7509,2026-02-05 12:19:47
283,1770302962,-15810.7609,2113.7067,2026-02-05 14:49:22
284,1770303003,-15810.7719,2113.709,2026-02-05 14:50:03
285,1770303529,-15810.8731,2113.7712,2026-02-05 14:58:49
286,1770303561,-15810.8807,2113.779,2026-02-05 14:59:21
287,1770303597,-15810.8899,2113.7823,2026-02-05 14:59:57
288,1770312535,-15810.7516,2114.1291,2026-02-05 17:28:55
289,1770312576,-15810.7564,2114.1323,2026-02-05 17:29:36
290,1770313077,-15810.8158,2114.1683,2026-02-05 17:37:57
291,1770313113,-15810.8232,2114.1746,2026-02-05 17:38:33
292,1770313145,-15810.8234,2114.1723,2026-02-05 17:39:05
293,1770321954,-15811.7733,2115.6257,2026-02-05 20:05:54
294,1770321990,-15811.7755,2115.6298,2026-02-05 20:06:30
295,1770332573,-15813.012,2117.187,2026-02-05 23:02:53
296,1770332609,-15813.0132,2117.1923,2026-02-05 23:03:29
297,1770341512,-15814.0706,2118.077,2026-02-06 01:31:52
298,1770341548,-15814.0702,2118.0813,2026-02-06 01:32:28
299,1770342102,-15814.0706,2118.1581,2026-02-06 01:41:42
300,1770342138,-15814.0712,2118.1626,2026-02-06 01:42:18
301,1770342174,-15814.0709,2118.1665,2026-02-06 01:42:54
302,1770342206,-15814.0735,2118.1688,2026-02-06 01:43:26
303,1770351344,-15814.9054,2119.0574,2026-02-06 04:15:44
304,1770351377,-15814.9037,2119.0585,2026-02-06 04:16:17
305,1770351939,-15814.8871,2119.098,2026-02-06 04:25:39
306,1770351971,-15814.8844,2119.0986,2026-02-06 04:26:11
307,1770352007,-15814.8821,2119.098,2026-02-06 04:26:47
308,1770361063,-15815.9298,2120.3078,2026-02-06 06:57:43
309,1770361587,-15815.9267,2120.3631,2026-02-06 07:06:27
310,1770361623,-15815.9261,2120.3637,2026-02-06 07:07:03
311,1770361655,-15815.9247,2120.3716,2026-02-06 07:07:35
312,1770370411,-15817.0831,2121.6772,2026-02-06 09:33:31
313,1770370448,-15817.0869,2121.6827,2026-02-06 09:34:08
314,1770370906,-15817.123,2121.7431,2026-02-06 09:41:46
315,1770370943,-15817.125,2121.7468,2026-02-06 09:42:23
316,1770370979,-15817.129,2121.756,2026-02-06 09:42:59
317,1770379893,-15818.4682,2122.8015,2026-02-06 12:11:33
318,1770379929,-15818.4673,2122.8023,2026-02-06 12:12:09
319,1770380454,-15818.4639,2122.8172,2026-02-06 12:20:54
320,1770380486,-15818.4639,2122.818,2026-02-06 12:21:26
321,1770380522,-15818.4669,2122.8176,2026-02-06 12:22:02
322,1770380558,-15818.4721,2122.817,2026-02-06 12:22:38
323,1770389560,-15818.1614,2122.2255,2026-02-06 14:52:40
324,1770390085,-15818.1204,2122.1871,2026-02-06 15:01:25
325,1770390122,-15818.1175,2122.1843,2026-02-06 15:02:02
326,1770390158,-15818.1149,2122.1814,2026-02-06 15:02:38
327,1770390194,-15818.123,2122.1814,2026-02-06 15:03:14
328,1770399261,-15817.2631,2121.1074,2026-02-06 17:34:21
329,1770399298,-15817.2671,2121.1105,2026-02-06 17:34:58
330,1770400175,-15817.3752,2121.1839,2026-02-06 17:49:35
331,1770400207,-15817.3798,2121.1865,2026-02-06 17:50:07
332,1770400243,-15817.3843,2121.1889,2026-02-06 17:50:43
333,1770400279,-15817.392,2121.1904,2026-02-06 17:51:19
334,1770412306,-15818.2236,2122.5366,2026-02-06 21:11:46
335,1770412347,-15818.2264,2122.5477,2026-02-06 21:12:27
336,1770412873,-15818.2666,2122.6738,2026-02-06 21:21:13
337,1770412909,-15818.2699,2122.6789,2026-02-06 21:21:49
338,1770412941,-15818.2762,2122.6871,2026-02-06 21:22:21
339,1770425091,-15819.6837,2124.0794,2026-02-07 00:44:51
340,1770425127,-15819.685,2124.0831,2026-02-07 00:45:27
341,1770425633,-15819.6969,2124.1425,2026-02-07 00:53:53
342,1770425669,-15819.6977,2124.1489,2026-02-07 00:54:29
343,1770425701,-15819.6986,2124.149,2026-02-07 00:55:01
344,1770437866,-15820.6212,2125.2295,2026-02-07 04:17:46
345,1770437902,-15820.6175,2125.2314,2026-02-07 04:18:22
346,1770451625,-15821.6706,2126.2603,2026-02-07 08:07:05
347,1770451657,-15821.6698,2126.2591,2026-02-07 08:07:37
348,1770451693,-15821.6688,2126.2594,2026-02-07 08:08:13
349,1770464211,-15823.0618,2127.8624,2026-02-07 11:36:51
350,1770464248,-15823.0657,2127.8584,2026-02-07 11:37:28
351,1770464778,-15823.1378,2127.7892,2026-02-07 11:46:18
352,1770464815,-15823.1458,2127.7857,2026-02-07 11:46:55
353,1770476992,-15824.3044,2129.0889,2026-02-07 15:09:52
354,1770477028,-15824.3093,2129.0785,2026-02-07 15:10:28
355,1770503201,-15824.0195,2128.4567,2026-02-07 22:26:41
356,1770503238,-15824.0297,2128.458,2026-02-07 22:27:18
357,1770503274,-15824.0402,2128.4589,2026-02-07 22:27:54
358,1770515221,-15823.0571,2127.7714,2026-02-08 01:47:01
359,1770515257,-15823.0683,2127.7733,2026-02-08 01:47:37
360,1770541942,-15821.8739,2125.8627,2026-02-08 09:12:22
361,1770541979,-15821.882,2125.868,2026-02-08 09:12:59
362,1770542011,-15821.8853,2125.8805,2026-02-08 09:13:31
363,1770542047,-15821.8826,2125.8879,2026-02-08 09:14:07
364,1770554078,-15821.4978,2125.4936,2026-02-08 12:34:38
365,1770554114,-15821.5031,2125.5007,2026-02-08 12:35:14
366,1770554632,-15821.5763,2125.6044,2026-02-08 12:43:52
367,1770554668,-15821.5815,2125.6119,2026-02-08 12:44:28
368,1770554704,-15821.5859,2125.619,2026-02-08 12:45:04
369,1770567014,-15820.6349,2124.8124,2026-02-08 16:10:14
370,1770567046,-15820.639,2124.8137,2026-02-08 16:10:46
371,1770578836,-15819.8008,2123.97,2026-02-08 19:27:16
372,1770578872,-15819.8025,2123.9769,2026-02-08 19:27:52
373,1770578908,-15819.801,2123.9845,2026-02-08 19:28:28
374,1770585269,-15819.0807,2123.3745,2026-02-08 21:14:29
375,1770585301,-15819.0854,2123.38,2026-02-08 21:15:01
376,1770585768,-15819.1532,2123.4483,2026-02-08 21:22:48
377,1770585804,-15819.1602,2123.4548,2026-02-08 21:23:24
378,1770592967,-15819.2808,2123.6562,2026-02-08 23:22:47
379,1770593003,-15819.2862,2123.6605,2026-02-08 23:23:23
380,1770593522,-15819.3702,2123.7229,2026-02-08 23:32:02
381,1770593558,-15819.374,2123.7257,2026-02-08 23:32:38
382,1770593594,-15819.3811,2123.7299,2026-02-08 23:33:14
383,1770593626,-15819.3863,2123.7292,2026-02-08 23:33:46
384,1770601725,-15820.5206,2125.0233,2026-02-09 01:48:45
385,1770601763,-15820.5258,2125.0271,2026-02-09 01:49:23
386,1770602417,-15820.645,2125.0988,2026-02-09 02:00:17
387,1770602453,-15820.6498,2125.1034,2026-02-09 02:00:53
388,1770602485,-15820.6541,2125.1088,2026-02-09 02:01:25
389,1770612768,-15821.7979,2126.5714,2026-02-09 04:52:48
390,1770612804,-15821.8011,2126.5741,2026-02-09 04:53:24
391,1770613364,-15821.8604,2126.6235,2026-02-09 05:02:44
392,1770613400,-15821.8595,2126.6305,2026-02-09 05:03:20
393,1770624539,-15822.8614,2127.9035,2026-02-09 08:08:59
394,1770624571,-15822.8603,2127.9095,2026-02-09 08:09:31
395,1770625258,-15822.8143,2127.9989,2026-02-09 08:20:58
396,1770625294,-15822.8119,2128.0035,2026-02-09 08:21:34
397,1770625326,-15822.8024,2128.0035,2026-02-09 08:22:06
398,1770633218,-15824.028,2129.1105,2026-02-09 10:33:38
399,1770633254,-15824.0335,2129.1157,2026-02-09 10:34:14
400,1770633740,-15824.1133,2129.1711,2026-02-09 10:42:20
401,1770633772,-15824.1175,2129.1761,2026-02-09 10:42:52
402,1770633808,-15824.122,2129.1818,2026-02-09 10:43:28
403,1770633844,-15824.1238,2129.193,2026-02-09 10:44:04
404,1770641673,-15825.1941,2130.1788,2026-02-09 12:54:33
405,1770641709,-15825.203,2130.1852,2026-02-09 12:55:09
406,1770642183,-15825.3194,2130.28,2026-02-09 13:03:03
407,1770642219,-15825.324,2130.2896,2026-02-09 13:03:39
408,1770650187,-15824.9221,2129.677,2026-02-09 15:16:27
409,1770650223,-15824.9326,2129.6843,2026-02-09 15:17:03
410,1770651274,-15825.2108,2129.8844,2026-02-09 15:34:34
411,1770651306,-15825.2176,2129.8905,2026-02-09 15:35:06
412,1770651342,-15825.2257,2129.8944,2026-02-09 15:35:42
413,1770651378,-15825.227,2129.8937,2026-02-09 15:36:18
414,1770659476,-15824.6139,2129.0325,2026-02-09 17:51:16
415,1770660063,-15824.6717,2129.1144,2026-02-09 18:01:03
416,1770660099,-15824.6762,2129.116,2026-02-09 18:01:39
417,1770660131,-15824.6757,2129.1317,2026-02-09 18:02:11
418,1770667682,-15823.8229,2128.2513,2026-02-09 20:08:02
419,1770667718,-15823.8254,2128.2548,2026-02-09 20:08:38
420,1770668237,-15823.8625,2128.3252,2026-02-09 20:17:17
421,1770668273,-15823.8651,2128.3287,2026-02-09 20:17:53
422,1770668309,-15823.8661,2128.337,2026-02-09 20:18:29
423,1770676333,-15823.0102,2127.6182,2026-02-09 22:32:13
424,1770676369,-15823.0189,2127.6194,2026-02-09 22:32:49
